 Coordinates: 1, -1, 4 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -7, 0, 6 | Type: BLACK_BANNER, Rotation: EAST
 Coordinates: -5, 8, -3 | Type: BARRIER, Rotation: NONE
 Coordinates: -7, 0, 7 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -5, 8, -4 | Type: BARRIER, Rotation: NONE
 Coordinates: -7, 0, 4 | Type: SMOOTH_QUARTZ_STAIRS, Rotation: SOUTH_TOP
 Coordinates: -7, 0, 5 | Type: BLACK_BANNER, Rotation: EAST
 Coordinates: 7, 2, 7 | Type: GOLD_BLOCK, Rotation: NONE
 Coordinates: 7, 2, 8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -1, 7, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: -5, 3, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: 2, 3, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: 3, 6, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: 5, 3, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: -6, 3, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: -6, -2, 7 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -8, 4, 0 | Type: BARRIER, Rotation: NONE
 Coordinates: -6, -2, 6 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -8, 4, 3 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 4, 4 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 4, 1 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 4, 2 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 4, 7 | Type: BARRIER, Rotation: NONE
 Coordinates: -3, 6, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 4, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 4, 5 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 4, 6 | Type: BARRIER, Rotation: NONE
 Coordinates: 0, 5, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: -1, 5, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: 4, -1, -3 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 4, -1, -4 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 4, -1, -1 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 4, -1, -2 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 4, -1, -7 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 4, -1, -8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 4, -1, -5 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 4, -1, -6 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 7, 4, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 5, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 5, -7 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 5, -4 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 5, -3 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 5, -6 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 5, -5 | Type: BARRIER, Rotation: NONE
 Coordinates: 5, 3, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: 7, -1, -1 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 7, -1, -2 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 7, -1, -3 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 7, -1, -4 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 7, -1, -5 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 7, -1, -6 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 7, -1, -7 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 7, -1, -8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -8, 5, -2 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 5, -1 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 6, -1 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 6, -6 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 6, -7 | Type: BARRIER, Rotation: NONE
 Coordinates: 7, 6, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 6, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 6, -2 | Type: BARRIER, Rotation: NONE
 Coordinates: -1, -1, -7 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -8, 6, -3 | Type: BARRIER, Rotation: NONE
 Coordinates: -1, -1, -8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -8, 6, -4 | Type: BARRIER, Rotation: NONE
 Coordinates: -1, -1, -5 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -8, 6, -5 | Type: BARRIER, Rotation: NONE
 Coordinates: -1, -1, -6 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -1, -1, -3 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -1, -1, -4 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -1, -1, -1 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -1, -1, -2 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 2, 0, 8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 8, 8, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 8, 7 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 8, 6 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 8, 5 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 8, 4 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 8, 3 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 8, 2 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 8, 1 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 8, 0 | Type: BARRIER, Rotation: NONE
 Coordinates: 4, 8, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: 5, 0, -8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 4, 8, 6 | Type: BARRIER, Rotation: NONE
 Coordinates: 4, 8, 7 | Type: BARRIER, Rotation: NONE
 Coordinates: -4, 1, 8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 1, 0, 8 | Type: SMOOTH_QUARTZ_SLAB, Rotation: NONE_BOTTOM
 Coordinates: 4, 8, 4 | Type: BARRIER, Rotation: NONE
 Coordinates: 4, 8, 5 | Type: BARRIER, Rotation: NONE
 Coordinates: 6, -1, 7 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 6, -1, 6 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 5, 7, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: 6, -1, 8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 6, -1, 3 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 6, -1, 2 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -3, 2, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: 6, -1, 5 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 6, -1, 4 | Type: DEEPSLATE_GOLD_ORE, Rotation: NONE
 Coordinates: -3, 2, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: 6, -1, 1 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 6, -1, 0 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 2, 2, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: 0, 2, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: -7, -1, 4 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 4, 8, 2 | Type: BARRIER, Rotation: NONE
 Coordinates: -7, -1, 5 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 4, 8, 3 | Type: BARRIER, Rotation: NONE
 Coordinates: -7, -1, 2 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -1, 2, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: 4, 8, 0 | Type: BARRIER, Rotation: NONE
 Coordinates: -7, -1, 3 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 4, 8, 1 | Type: BARRIER, Rotation: NONE
 Coordinates: -7, -1, 0 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -7, -1, 1 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -8, 4, -3 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 4, -2 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 4, -1 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 4, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 4, -7 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 4, -6 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 4, -5 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 4, -4 | Type: BARRIER, Rotation: NONE
 Coordinates: 7, 4, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 2, 0 | Type: BARRIER, Rotation: NONE
 Coordinates: -7, -1, -7 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -7, -1, -8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 2, 5, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 2, 2 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 2, 1 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 2, 4 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 2, 3 | Type: BARRIER, Rotation: NONE
 Coordinates: 0, 7, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 2, 6 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -8, 2, 5 | Type: SMOOTH_QUARTZ_SLAB, Rotation: NONE_BOTTOM
 Coordinates: -8, 2, 8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -8, 2, 7 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 6, 7, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: -2, 2, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: -5, 6, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: 4, 6, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: -7, -1, 8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -6, 0, 7 | Type: BLACK_BANNER, Rotation: NORTH
 Coordinates: -6, 0, 8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -7, -1, 6 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -7, -1, 7 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -6, 1, -8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -6, 1, -7 | Type: DEEPSLATE_DIAMOND_ORE, Rotation: NONE
 Coordinates: -6, 1, -6 | Type: CRYING_OBSIDIAN, Rotation: NONE
 Coordinates: -3, 5, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 4, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: -7, -1, -1 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -7, -1, -2 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -7, -1, -3 | Type: DIAMOND_BLOCK, Rotation: NONE
 Coordinates: 8, 4, 5 | Type: BARRIER, Rotation: NONE
 Coordinates: -7, -1, -4 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 8, 4, 4 | Type: BARRIER, Rotation: NONE
 Coordinates: -7, -1, -5 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 8, 4, 7 | Type: BARRIER, Rotation: NONE
 Coordinates: -7, -1, -6 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 8, 4, 6 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 4, 1 | Type: BARRIER, Rotation: NONE
 Coordinates: -6, 0, 4 | Type: SMOOTH_QUARTZ_STAIRS, Rotation: SOUTH_TOP
 Coordinates: 8, 4, 0 | Type: BARRIER, Rotation: NONE
 Coordinates: -6, 0, 5 | Type: SMOOTH_QUARTZ_STAIRS, Rotation: WEST_TOP
 Coordinates: 8, 4, 3 | Type: BARRIER, Rotation: NONE
 Coordinates: -6, 0, 6 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 8, 4, 2 | Type: BARRIER, Rotation: NONE
 Coordinates: 0, 1, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 3, -6 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 3, -5 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 3, -8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -8, 3, -7 | Type: SMOOTH_QUARTZ_SLAB, Rotation: NONE_BOTTOM
 Coordinates: -7, 2, 8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -3, 3, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: 1, 7, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 3, -2 | Type: BARRIER, Rotation: NONE
 Coordinates: -7, 2, 7 | Type: END_ROD, Rotation: DOWN
 Coordinates: -8, 3, -1 | Type: BARRIER, Rotation: NONE
 Coordinates: -2, 4, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: 5, 1, -8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -8, 3, -4 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, 3, -3 | Type: BARRIER, Rotation: NONE
 Coordinates: 6, 5, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: 3, 8, 5 | Type: BARRIER, Rotation: NONE
 Coordinates: -5, 1, 8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 3, 8, 6 | Type: BARRIER, Rotation: NONE
 Coordinates: 3, 8, 7 | Type: BARRIER, Rotation: NONE
 Coordinates: 3, 8, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: -1, 1, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 6, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: 7, 3, -8 | Type: SMOOTH_QUARTZ_SLAB, Rotation: NONE_BOTTOM
 Coordinates: 8, 6, 6 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 6, 7 | Type: BARRIER, Rotation: NONE
 Coordinates: 4, 8, -5 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 6, 4 | Type: BARRIER, Rotation: NONE
 Coordinates: 4, 8, -6 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 6, 5 | Type: BARRIER, Rotation: NONE
 Coordinates: 4, 8, -7 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 6, 2 | Type: BARRIER, Rotation: NONE
 Coordinates: 3, 8, 0 | Type: BARRIER, Rotation: NONE
 Coordinates: 4, 8, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 6, 3 | Type: BARRIER, Rotation: NONE
 Coordinates: 3, 8, 1 | Type: BARRIER, Rotation: NONE
 Coordinates: 4, 8, -1 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 6, 0 | Type: BARRIER, Rotation: NONE
 Coordinates: 3, 8, 2 | Type: BARRIER, Rotation: NONE
 Coordinates: 4, 8, -2 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 6, 1 | Type: BARRIER, Rotation: NONE
 Coordinates: 3, 8, 3 | Type: BARRIER, Rotation: NONE
 Coordinates: 4, 8, -3 | Type: BARRIER, Rotation: NONE
 Coordinates: 3, 8, 4 | Type: BARRIER, Rotation: NONE
 Coordinates: 4, 8, -4 | Type: BARRIER, Rotation: NONE
 Coordinates: 7, 6, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: -5, 7, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: -1, 3, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: -6, 0, -5 | Type: DEEPSLATE_DIAMOND_ORE, Rotation: NONE
 Coordinates: -6, 0, -4 | Type: DIAMOND_BLOCK, Rotation: NONE
 Coordinates: 2, 4, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: -3, 4, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: -6, 0, -8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 2, -1, -8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 6, 0, -8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 2, -1, -7 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -1, 4, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: 2, -1, -2 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 7, -1, 7 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 2, -1, -1 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 7, -1, 8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 2, -1, -4 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 7, -1, 5 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 2, -1, -3 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 7, -1, 6 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 2, -1, -6 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 7, -1, 3 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 2, -1, -5 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 7, -1, 4 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -7, 6, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: -5, 8, 1 | Type: BARRIER, Rotation: NONE
 Coordinates: -4, 2, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: 7, -1, 1 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -5, 8, 0 | Type: BARRIER, Rotation: NONE
 Coordinates: 7, -1, 2 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -5, 8, 3 | Type: BARRIER, Rotation: NONE
 Coordinates: -5, 8, 2 | Type: BARRIER, Rotation: NONE
 Coordinates: 7, -1, 0 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -5, 8, 5 | Type: BARRIER, Rotation: NONE
 Coordinates: 3, 2, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: -5, 8, 4 | Type: BARRIER, Rotation: NONE
 Coordinates: -5, 8, 7 | Type: BARRIER, Rotation: NONE
 Coordinates: -5, 8, 6 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, -1, 6 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -8, -1, 5 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -5, 8, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: -8, -1, 4 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -8, -1, 3 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -8, -1, 2 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -8, -1, 1 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -8, -1, 0 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -1, 1, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: -7, 0, -3 | Type: DIAMOND_BLOCK, Rotation: NONE
 Coordinates: -4, 4, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: -7, 0, -4 | Type: DIAMOND_ORE, Rotation: NONE
 Coordinates: -8, -1, 8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -8, -1, 7 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 8, 2, 6 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 8, 2, 7 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 8, 2, 8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 2, 7, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 2, 2 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 2, 3 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 2, 4 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 2, 5 | Type: SMOOTH_QUARTZ_SLAB, Rotation: NONE_BOTTOM
 Coordinates: 6, 4, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 2, 0 | Type: BARRIER, Rotation: NONE
 Coordinates: -6, 2, 8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 8, 2, 1 | Type: BARRIER, Rotation: NONE
 Coordinates: -7, 0, -8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 8, 4, -1 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 4, -2 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 4, -3 | Type: BARRIER, Rotation: NONE
 Coordinates: 4, 6, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 4, -4 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 4, -5 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 4, -6 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 4, -7 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 4, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: -3, 7, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: 5, -1, -3 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 5, -1, -2 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 5, -1, -1 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 5, 6, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: -6, 6, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: 5, -1, -8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 5, -1, -7 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 5, -1, -6 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 5, -1, -5 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 5, -1, -4 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 5, 0, 6 | Type: DEEPSLATE_GOLD_ORE, Rotation: NONE
 Coordinates: 5, 0, 7 | Type: GOLD_BLOCK, Rotation: NONE
 Coordinates: 5, 0, 8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 7, 7, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: 1, 4, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: 0, 4, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: -4, 3, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: -6, -1, -8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -1, 3, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: 4, 4, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: 2, 6, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: 0, 0, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: 3, 3, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: 3, 0, 8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -6, -1, -4 | Type: DIAMOND_BLOCK, Rotation: NONE
 Coordinates: -6, -1, -5 | Type: SMOOTH_QUARTZ, Rotation: NONE
